code,channel,decoder,parameter,mean_BER,std_BER,ci_low,ci_high,seeds,words,decode_time
goppa_derived_16_8,rayleigh_awgn,hard_mld,6.0,0.05275000,0.02029855,0.02761022,0.07788978,5,100,0.0121
goppa_derived_16_8,rayleigh_awgn,soft_mld,0.0,0.16275000,0.00969858,0.15073829,0.17476171,5,100,0.0041
goppa_derived_16_8,rayleigh_awgn,soft_mld,1.0,0.13425000,0.02070251,0.10860992,0.15989008,5,100,0.0040
goppa_derived_16_8,rayleigh_awgn,soft_mld,2.0,0.09150000,0.02427705,0.06143285,0.12156715,5,100,0.0043
goppa_derived_16_8,rayleigh_awgn,soft_mld,3.0,0.05725000,0.01482713,0.03888658,0.07561342,5,100,0.0042
goppa_derived_16_8,rayleigh_awgn,soft_mld,4.0,0.03500000,0.00579601,0.02782163,0.04217837,5,100,0.0049
goppa_derived_16_8,rayleigh_awgn,soft_mld,5.0,0.02225000,0.00462669,0.01651984,0.02798016,5,100,0.0042
goppa_derived_16_8,rayleigh_awgn,soft_mld,6.0,0.01400000,0.00725646,0.00501286,0.02298714,5,100,0.0039
goppa_derived_16_8,rayleigh,syndrome,0.0,0.71350000,0.03094097,0.67517957,0.75182043,5,100,0.0137
goppa_derived_16_8,rayleigh,syndrome,1.0,0.65125000,0.04068745,0.60085854,0.70164146,5,100,0.0140
goppa_derived_16_8,rayleigh,syndrome,2.0,0.59475000,0.04654803,0.53710021,0.65239979,5,100,0.0135
goppa_derived_16_8,rayleigh,syndrome,3.0,0.51900000,0.04863287,0.45876812,0.57923188,5,100,0.0155
goppa_derived_16_8,rayleigh,syndrome,4.0,0.45325000,0.05319921,0.38736271,0.51913729,5,100,0.0141
goppa_derived_16_8,rayleigh,syndrome,5.0,0.40100000,0.05110804,0.33770263,0.46429737,5,100,0.0145
goppa_derived_16_8,rayleigh,syndrome,6.0,0.34650000,0.03574432,0.30223062,0.39076938,5,100,0.0147
goppa_derived_16_8,rayleigh,chase,0.0,0.29525000,0.02281721,0.26699086,0.32350914,5,100,0.1160
goppa_derived_16_8,rayleigh,chase,1.0,0.26575000,0.01949760,0.24160220,0.28989780,5,100,0.1179
goppa_derived_16_8,rayleigh,chase,2.0,0.21975000,0.03971972,0.17055707,0.26894293,5,100,0.1200
goppa_derived_16_8,rayleigh,chase,3.0,0.19550000,0.04278946,0.14250520,0.24849480,5,100,0.1181
goppa_derived_16_8,rayleigh,chase,4.0,0.17075000,0.02342875,0.14173346,0.19976654,5,100,0.1248
goppa_derived_16_8,rayleigh,chase,5.0,0.14125000,0.01179248,0.12664500,0.15585500,5,100,0.1255
goppa_derived_16_8,rayleigh,chase,6.0,0.11950000,0.02445659,0.08921048,0.14978952,5,100,0.1230
goppa_derived_16_8,rayleigh,hard_mld,0.0,0.21900000,0.02656654,0.18609730,0.25190270,5,100,0.0107
goppa_derived_16_8,rayleigh,hard_mld,1.0,0.19700000,0.02384193,0.16747174,0.22652826,5,100,0.0111
goppa_derived_16_8,rayleigh,hard_mld,2.0,0.17600000,0.02151308,0.14935603,0.20264397,5,100,0.0111
goppa_derived_16_8,rayleigh,hard_mld,3.0,0.15275000,0.02322445,0.12398649,0.18151351,5,100,0.0113
goppa_derived_16_8,rayleigh,hard_mld,4.0,0.12900000,0.01712546,0.10779010,0.15020990,5,100,0.0111
goppa_derived_16_8,rayleigh,hard_mld,5.0,0.11075000,0.01710720,0.08956271,0.13193729,5,100,0.0113
goppa_derived_16_8,rayleigh,hard_mld,6.0,0.08925000,0.01806239,0.06687970,0.11162030,5,100,0.0110
goppa_derived_16_8,rayleigh,soft_mld,0.0,0.19025000,0.03616801,0.14545587,0.23504413,5,100,0.0039
goppa_derived_16_8,rayleigh,soft_mld,1.0,0.16200000,0.02985119,0.12502926,0.19897074,5,100,0.0043
goppa_derived_16_8,rayleigh,soft_mld,2.0,0.13975000,0.03086513,0.10152350,0.17797650,5,100,0.0041
goppa_derived_16_8,rayleigh,soft_mld,3.0,0.11525000,0.02156748,0.08853865,0.14196135,5,100,0.0033
goppa_derived_16_8,rayleigh,soft_mld,4.0,0.09675000,0.02247568,0.06891384,0.12458616,5,100,0.0039
goppa_derived_16_8,rayleigh,soft_mld,5.0,0.08275000,0.02094263,0.05681253,0.10868747,5,100,0.0035
goppa_derived_16_8,rayleigh,soft_mld,6.0,0.07125000,0.01950561,0.04709228,0.09540772,5,100,0.0040
goppa_derived_16_8,sinusoidal,syndrome,0.0,0.77275000,0.03355732,0.73118921,0.81431079,5,100,0.0136
goppa_derived_16_8,sinusoidal,syndrome,1.0,0.68850000,0.01642692,0.66815524,0.70884476,5,100,0.0132
goppa_derived_16_8,sinusoidal,syndrome,2.0,0.60500000,0.03391165,0.56300038,0.64699962,5,100,0.0158
goppa_derived_16_8,sinusoidal,syndrome,3.0,0.48200000,0.04658326,0.42430657,0.53969343,5,100,0.0176
goppa_derived_16_8,sinusoidal,syndrome,4.0,0.38400000,0.03361547,0.34236719,0.42563281,5,100,0.0163
